Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;;803,88;798,01;787,98;;824,35;932,08;905,10;898,04;;;894,82
2;;801,52;803,27;;850,78;825,28;;893,19;898,24;;936,35;885,77
3;844,69;805,95;807,31;;860,64;815,56;;897,22;;960,24;937,79;
4;851,43;817,29;800,97;783,45;856,74;;934,54;907,82;;955,42;948,74;
5;852,03;;;779,33;859,33;;927,53;903,91;885,52;931,12;;881,87
6;841,63;;;783,28;863,10;813,38;948,51;;866,28;942,02;;886,26
7;838,88;825,58;806,89;794,58;;817,99;972,66;;888,51;943,92;932,37;884,74
8;;826,93;808,60;807,88;;828,99;959,70;914,49;886,34;;919,58;
9;;824,33;812,03;;857,58;821,66;;906,03;881,04;;907,35;878,58
10;831,59;820,79;803,57;;867,87;827,19;;900,78;;;904,42;
11;831,39;804,20;806,03;814,28;868,06;;966,74;889,38;;945,06;893,54;
12;832,60;;;818,53;861,76;;989,95;882,33;885,15;933,88;;861,51
13;826,51;;;806,73;867,93;838,61;1.008,81;;898,69;933,14;;860,03
14;821,87;806,24;802,48;804,78;;863,33;1.010,16;;910,27;944,75;887,46;858,07
15;;812,24;808,41;;;866,79;1.042,97;;917,11;;898,72;862,85
16;;804,17;815,03;;861,04;863,95;;882,72;;;889,14;875,56
17;815,39;799,55;803,55;;857,98;869,62;;882,20;;950,72;895,68;
18;822,00;798,98;798,13;814,73;850,78;;988,22;895,76;;967,73;920,86;
19;820,60;;;817,70;849,90;;940,90;918,20;;972,03;;885,99
20;813,46;;;818,18;842,38;875,65;929,83;;922,60;978,06;;888,27
21;805,25;793,91;802,23;816,29;;;919,93;;928,25;972,08;929,30;889,65
22;;799,99;798,50;817,85;;880,82;927,49;945,35;938,82;;947,06;879,48
23;;796,25;793,22;;833,58;886,64;;945,47;943,07;;935,29;867,01
24;799,23;787,05;794,44;;829,59;898,80;;926,94;;978,49;924,63;
25;800,31;807,26;789,87;834,45;833,99;;932,83;915,60;;983,91;911,96;
26;806,06;;;850,85;835,43;;941,03;910,03;965,18;971,12;;876,22
27;798,86;;;847,57;829,61;;922,04;;987,07;953,00;;879,19
28;799,15;805,25;785,89;847,44;;911,49;920,49;;982,83;945,31;915,81;876,75
29;;;778,62;856,58;;905,32;911,42;900,22;971,14;;916,36;856,76
30;;;777,10;;822,25;919,97;;890,90;966,00;;905,70;859,51
31;810,12;;787,16;;826,26;;;882,11;;;;
Promedio;822,05;807,07;799,19;815,12;849,39;857,77;953,71;904,35;921,01;955,89;917,05;875,66
