Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;;932,26;969,91;981,71;;;944,34;943,78;;897,68;;
2;877,12;936,01;;982,59;954,25;;943,89;938,94;913,99;901,13;;977,66
3;880,92;;;979,96;954,36;916,77;946,99;;915,14;908,23;;979,10
4;884,39;;966,41;962,83;;907,94;939,57;;926,22;919,49;961,29;972,75
5;884,45;943,84;971,92;942,72;;905,37;936,55;951,11;937,86;;956,54;974,37
6;;955,73;976,36;;938,29;906,25;;957,57;941,54;;954,90;971,65
7;;949,81;981,26;;930,17;910,45;;947,18;;923,74;968,60;
8;893,07;947,90;983,80;948,92;934,29;;933,51;943,96;;925,86;950,99;
9;901,31;957,86;;946,71;936,76;;939,17;937,18;943,18;933,62;;971,62
10;914,71;;;940,61;930,99;916,84;932,31;;946,22;934,84;;969,92
11;919,07;;964,95;953,51;;923,24;918,86;;948,85;931,26;963,09;972,43
12;911,37;968,73;966,29;957,03;;924,18;908,92;932,62;943,44;;980,47;975,81
13;;972,22;965,18;;922,00;914,86;;931,96;933,57;;983,76;975,67
14;;971,56;948,88;;922,10;919,49;;932,28;;926,07;981,61;
15;908,67;959,86;945,56;964,59;916,87;;910,14;;;928,37;975,44;
16;912,02;961,94;;978,07;909,06;;;931,39;925,61;937,29;;983,25
17;922,06;;;985,05;901,53;928,47;910,79;;923,37;941,30;;989,93
18;926,77;;941,42;974,97;;938,68;921,91;;;945,01;974,51;990,87
19;918,62;969,04;945,11;968,44;;934,91;940,15;933,84;;;976,86;988,44
20;;966,23;962,06;;897,11;;;929,36;;;973,21;996,35
21;;963,68;975,91;;;927,92;;922,58;;946,99;972,68;
22;910,73;967,52;971,54;956,32;886,79;;943,77;918,97;;954,39;971,29;
23;905,63;972,77;;953,75;904,67;;949,10;919,94;927,15;949,00;;991,18
24;908,87;;;950,77;908,95;937,34;946,69;;924,81;948,20;;992,78
25;908,51;;980,24;954,58;;941,72;948,79;;911,51;945,29;982,08;
26;910,97;983,76;977,76;948,61;;942,31;947,39;911,01;912,24;;976,89;989,07
27;;986,85;981,71;;903,17;947,78;;907,35;900,91;;975,06;
28;;984,53;982,38;;900,28;951,02;;907,32;;949,34;975,41;
29;916,16;980,19;;947,68;898,13;;950,29;912,08;;945,88;977,32;
30;927,63;;;943,62;907,67;;956,63;917,38;896,25;950,89;;992,12
31;932,66;;;;917,98;;956,58;;;;;
Promedio;907,99;963,44;967,93;960,14;917,88;926,08;937,56;929,90;926,21;933,81;971,60;981,84
